	
%.2fx	%.2fx
%@	%@
%@ %@	%1$@ %2$@
%@ %@ (%@)	%1$@ %2$@ (%3$@)
%@ Automatically created	%@ Automatically created
%@ Episodes	%@ Episodes
%@ New Episodes	%@ New Episodes
%@ Settings	%@ Settings
%@ Unplayed	%@ Unplayed
%@ Unplayed Episodes	%@ Unplayed Episodes
%@ episodes	%@ episodes
%@ episodes in the feed	%@ episodes in the feed
%@ in Apple Podcasts	%@ in Apple Podcasts
%@ in Library	%@ in Library
%@ is not available	%@ is not available
%@ left	%@ left
%@ new episodes	%@ new episodes
%@ of %@	%1$@ of %2$@
%@ podcasts	%@ podcasts
%@ remaining	%@ remaining
%@ saved episodes	%@ saved episodes
%@ stations	%@ stations
%@ unplayed	%@ unplayed
%@ unplayed episodes	%@ unplayed episodes
%@%@%@	%1$@%2$@%3$@
%@, %@	%1$@, %2$@
%lld Followed Shows	{"value": {"one": "%d Followed Show", "other": "%d Followed Shows", "NSStringFormatSpecTypeKey": "NSStringPluralRuleType", "NSStringFormatValueTypeKey": "d"}, "NSStringLocalizedFormatKey": "%#@value@"}
+%llds	+%llds
-%llds	-%llds
0 Episodes	0 Episodes
0 New Episodes	0 New Episodes
0 Unplayed	0 Unplayed
0 Unplayed Episodes	No Unplayed Episodes
0 episodes	0 episodes
0 episodes in the feed	0 episodes in the feed
0 new episodes	0 new episodes
0 podcasts	0 podcasts
0 saved episodes	0 saved episodes
0 stations	0 stations
0 unplayed	No unplayed
0 unplayed episodes	No unplayed episodes
1 Day	1 Day
1 Episode	1 Episode
1 Month	1 Month
1 Most Recent	Most Recent
1 New Episode	1 New Episode
1 Next	Next
1 Unplayed	1 Unplayed
1 Unplayed Episode	1 Unplayed Episode
1 Week	1 Week
1 episode	1 episode
1 episode in the feed	1 episode in the feed
1 new episode	1 new episode
1 podcast	1 podcast
1 saved episode	1 saved episode
1 station	1 station
1 unplayed	1 unplayed
1 unplayed episode	1 unplayed episode
10 Latest Episodes	10 Latest Episodes
10 Most Recent	10 Most Recent
10 Next	10 Next
10_SECONDS	10 Seconds
15_SECONDS	15 Seconds
1h Ym	1h 8m
2 Latest Episodes	2 Latest Episodes
2 Most Recent	2 Most Recent
2 Next	2 Next
2 Weeks	2 Weeks
3 Latest Episodes	3 Latest Episodes
3 Most Recent	3 Most Recent
3 Next	3 Next
30_SECONDS	30 Seconds
45_SECONDS	45 Seconds
5 Latest Episodes	5 Latest Episodes
5 Most Recent	5 Most Recent
5 Next	5 Next
60_SECONDS	60 Seconds
A debugging affordance for triggering an app intent notice without performing other operations	A debugging affordance for triggering an app intent notice without performing other operations
A subscription is required to listen to this episode	A subscription is required to listen to this episode
A topic ID is required	A topic ID is required
ABOUT_PODCASTS_AND_PRIVACY	About Apple Podcasts & Privacy
ABOUT_TITLE	About
ACCESSIBILITY	Accessibility
ACCESSIBILITY_BOOKMARK_LABEL	Save Episode
ACCESSIBILITY_BOOKMARK_VALUE_OFF	Off
ACCESSIBILITY_BOOKMARK_VALUE_ON	On
